ID,Counts,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit
ID-1591,3,F,N,N,2,72000,Commercial associate,Secondary / secondary special,Married,House / apartment,-12417,-2265,1,0,0,Sales staff,4,-3,1
ID-1592,2,F,Y,Y,0,202500,Pensioner,Higher education,Widow,House / apartment,-23739,0,0,0,0,Retirement,1,-47,2
ID-1593,3,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,-20546,-11183,0,1,1,Working_etc,2,-29,2
ID-1594,4,F,N,Y,0,103500,Pensioner,Incomplete higher,Married,House / apartment,-22254,0,0,1,0,Retirement,2,-18,2
ID-1595,2,M,Y,N,0,270000,Working,Secondary / secondary special,Civil marriage,House / apartment,-18402,-714,1,0,0,Core staff,2,-51,0
ID-1596,4,M,Y,Y,0,225000,Pensioner,Secondary / secondary special,Married,House / apartment,-22231,0,0,0,0,Retirement,2,-18,2
ID-1597,3,M,Y,N,0,112500,Working,Secondary / secondary special,Civil marriage,With parents,-8466,-483,1,0,0,Core staff,2,-3,1
ID-1598,5,M,Y,N,1,202500,Working,Secondary / secondary special,Married,House / apartment,-15974,-4867,0,0,1,Drivers,3,-51,2
ID-1599,4,F,Y,N,0,337500,Working,Secondary / secondary special,Married,House / apartment,-17079,-681,1,1,0,Laborers,2,-15,1
ID-1600,3,F,N,Y,1,90000,Working,Secondary / secondary special,Married,House / apartment,-9540,-959,0,0,1,Laborers,3,-27,2
ID-1601,5,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,-23442,0,0,1,0,Retirement,2,-16,1
ID-1602,3,F,N,Y,0,180000,Working,Secondary / secondary special,Civil marriage,House / apartment,-19750,-3608,0,0,0,Laborers,2,-23,2
ID-1603,1,F,N,Y,0,67500,Pensioner,Secondary / secondary special,Married,House / apartment,-22109,0,0,1,0,Retirement,2,-7,1
ID-1604,7,F,N,N,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,-13079,-2499,1,0,0,Managers,2,-34,1
ID-1605,6,F,N,N,1,112500,State servant,Secondary / secondary special,Single / not married,House / apartment,-15964,-7591,0,0,0,Core staff,2,-19,1
ID-1606,5,F,N,Y,0,216000,Working,Secondary / secondary special,Married,House / apartment,-15569,-1639,1,0,0,Core staff,2,-23,2
ID-1607,10,F,Y,N,0,202500,Commercial associate,Incomplete higher,Separated,House / apartment,-14096,-1344,0,1,1,Accountants,1,-26,2
ID-1608,2,F,N,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,-13022,-3931,1,1,0,Laborers,3,-52,2
ID-1609,3,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-16165,-848,1,0,0,Laborers,2,-43,2
ID-617,8,M,N,Y,2,270000,Working,Secondary / secondary special,Single / not married,House / apartment,-11505,-4019,0,0,0,Laborers,3,-24,2
ID-1254,8,F,N,Y,2,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,-10454,-505,0,0,1,High skill tech staff,4,-6,1
ID-1610,4,M,N,Y,0,157500,Working,Incomplete higher,Married,House / apartment,-13682,-453,1,1,0,Working_etc,2,-7,1
ID-168,9,F,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,-19702,-9870,1,1,0,Working_etc,2,-8,2
ID-537,6,M,Y,N,0,121500,Working,Secondary / secondary special,Married,House / apartment,-14869,-6904,0,1,0,Laborers,2,-60,2
ID-1611,1,F,Y,N,0,180000,State servant,Secondary / secondary special,Married,Municipal apartment,-21713,-3780,0,0,0,Core staff,2,-32,1
ID-1612,3,F,Y,Y,1,67500,Working,Secondary / secondary special,Married,House / apartment,-16361,-2109,1,0,0,Working_etc,3,-10,2
ID-1613,5,F,N,Y,0,157500,Pensioner,Higher education,Married,House / apartment,-22414,0,0,1,0,Retirement,2,-4,0
ID-1614,3,F,Y,Y,2,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,-9868,-583,0,0,0,Sales staff,4,-2,1
ID-1615,4,F,N,Y,0,180000,Working,Higher education,Married,House / apartment,-15201,-1845,1,1,0,Core staff,2,-10,2
ID-1616,3,M,Y,Y,0,162000,Pensioner,Secondary / secondary special,Married,House / apartment,-24507,0,0,0,0,Retirement,2,-53,2
ID-1617,2,F,N,N,0,225000,Commercial associate,Higher education,Married,House / apartment,-21630,-2570,0,0,0,Sales staff,2,-55,2
ID-955,6,M,Y,N,0,225000,State servant,Higher education,Married,Co-op apartment,-14536,-3415,0,1,0,Managers,2,-38,1
ID-1618,8,F,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-17733,-5622,0,1,0,Laborers,2,-36,2
ID-1456,6,F,N,Y,1,225000,Working,Secondary / secondary special,Married,With parents,-10035,-170,0,0,0,Cleaning staff,3,-2,1
ID-1619,2,F,N,Y,0,157500,Working,Incomplete higher,Married,House / apartment,-14140,-2513,0,0,0,Drivers,2,-14,2
ID-385,24,M,N,N,2,225000,Working,Higher education,Civil marriage,House / apartment,-16768,-3088,1,0,0,Laborers,4,-18,2
ID-1620,8,F,N,N,0,126000,Pensioner,Secondary / secondary special,Married,House / apartment,-20851,0,0,0,0,Retirement,2,-33,2
ID-21,8,F,N,N,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,-21253,0,0,1,0,Retirement,2,-27,2
ID-1621,1,F,N,N,2,315000,State servant,Higher education,Married,House / apartment,-12848,-3839,0,0,1,Core staff,4,-33,2
ID-1622,1,M,Y,Y,1,225000,Working,Secondary / secondary special,Separated,House / apartment,-15201,-3544,0,0,0,Laborers,2,-43,1
ID-1623,4,F,N,Y,0,225000,Pensioner,Higher education,Married,House / apartment,-23602,0,0,0,0,Retirement,2,-44,2
ID-1624,13,F,N,Y,0,112500,Working,Incomplete higher,Civil marriage,House / apartment,-9301,-1751,0,0,0,Working_etc,2,-55,2
ID-1625,3,M,Y,Y,0,198000,Working,Secondary / secondary special,Married,House / apartment,-21111,-1159,0,0,0,Drivers,2,-25,2
ID-1626,4,M,Y,N,2,225000,Working,Higher education,Married,House / apartment,-10241,-743,0,0,0,Working_etc,4,-15,2
ID-1627,3,F,N,Y,0,135000,State servant,Secondary / secondary special,Separated,House / apartment,-17999,-5700,0,1,0,Laborers,1,-51,1
ID-1628,4,F,N,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,-21464,0,0,0,0,Retirement,2,-14,2
ID-581,8,F,N,Y,0,247500,Commercial associate,Higher education,Single / not married,House / apartment,-11984,-2043,0,0,1,Core staff,1,-60,2
ID-1629,7,M,Y,Y,2,126000,Working,Secondary / secondary special,Married,House / apartment,-16468,-3304,1,1,0,Drivers,4,-34,2
ID-1630,6,F,N,Y,0,139500,Working,Secondary / secondary special,Married,House / apartment,-18730,-157,0,0,1,Cooking staff,2,-9,2
ID-1574,5,F,Y,N,0,225000,Working,Higher education,Married,House / apartment,-15318,-5490,0,0,0,Accountants,2,-59,1
ID-1631,5,F,N,N,2,112500,Working,Secondary / secondary special,Separated,House / apartment,-14307,-188,0,0,0,Laborers,3,-7,2
ID-1632,11,F,Y,Y,0,202500,Working,Higher education,Widow,House / apartment,-11998,-1497,0,0,0,Managers,1,-32,2
ID-1633,4,M,N,Y,0,148500,Commercial associate,Higher education,Single / not married,House / apartment,-9382,-2049,0,1,1,Medicine staff,1,-49,2
ID-1634,4,F,N,Y,1,225000,Commercial associate,Higher education,Separated,House / apartment,-15226,-1020,0,1,0,Sales staff,2,-30,2
ID-1539,16,M,Y,Y,2,180000,Working,Secondary / secondary special,Civil marriage,House / apartment,-13059,-4813,0,0,0,Laborers,4,-25,1
ID-1635,3,M,Y,N,0,121500,Commercial associate,Secondary / secondary special,Single / not married,With parents,-9215,-108,0,0,0,Laborers,1,-28,2
ID-1636,3,M,Y,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,-12250,-857,0,0,0,Laborers,3,-2,1
ID-1637,7,F,Y,Y,0,157500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18806,-319,0,0,0,Sales staff,1,-40,1
ID-1638,2,F,Y,Y,1,225000,State servant,Secondary / secondary special,Married,House / apartment,-13649,-1477,0,0,1,Medicine staff,3,-40,2
ID-220,3,M,N,Y,0,144000,Working,Secondary / secondary special,Civil marriage,House / apartment,-16979,-1830,0,0,0,Security staff,2,-18,2
ID-1639,3,F,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14221,-1542,0,0,0,Private service staff,2,-22,2
ID-1640,1,M,N,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-15915,-2908,0,0,0,Working_etc,1,-34,2
ID-1641,2,F,N,N,1,135000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-11989,0,0,0,0,Retirement,3,-18,2
ID-1642,9,M,N,N,0,270000,Working,Secondary / secondary special,Married,House / apartment,-11822,-4246,0,0,0,Working_etc,2,-60,2
ID-1643,5,F,Y,Y,0,225000,Pensioner,Secondary / secondary special,Married,House / apartment,-21717,0,0,0,0,Retirement,2,-30,2
ID-1644,6,F,N,Y,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,-17803,-10079,0,1,0,Core staff,1,-49,1
ID-1645,9,F,Y,N,0,121500,Working,Secondary / secondary special,Married,House / apartment,-12662,-1382,1,0,0,Medicine staff,2,-16,2
ID-1646,13,F,N,Y,0,130500,State servant,Secondary / secondary special,Married,House / apartment,-12676,-3455,0,0,0,Core staff,2,-18,2
ID-1647,5,F,N,N,0,90000,Working,Secondary / secondary special,Separated,House / apartment,-18764,-9866,0,0,0,Laborers,1,-49,2
ID-1648,1,M,Y,Y,2,90000,Working,Higher education,Married,House / apartment,-16461,-809,0,0,0,Security staff,4,-25,2
ID-1275,13,M,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,-17262,-1617,0,0,0,Core staff,2,-16,0
ID-1649,6,F,N,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,-21180,-2728,0,0,0,Commercial_associate_etc,2,-14,1
ID-686,7,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-20843,0,0,1,0,Retirement,2,-48,1
ID-1650,4,F,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,-11497,-1648,0,0,0,Sales staff,3,-25,2
ID-1651,12,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,0,Managers,4,-40,2
ID-1652,5,F,N,Y,0,81000,Pensioner,Secondary / secondary special,Separated,House / apartment,-22447,0,0,1,0,Retirement,1,-14,2
ID-1653,1,M,N,Y,0,202500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-11792,-4378,1,0,0,Laborers,1,-8,1
ID-1654,2,F,Y,Y,1,90000,Working,Higher education,Married,With parents,-12639,-686,0,0,0,Working_etc,3,-11,2
ID-1655,4,F,N,Y,0,157500,Working,Secondary / secondary special,Civil marriage,House / apartment,-11853,-5061,1,0,0,Waiters/barmen staff,2,-29,2
ID-1656,5,F,Y,Y,1,225000,Working,Higher education,Married,House / apartment,-14148,-1591,1,1,0,High skill tech staff,3,-26,2
ID-1657,1,F,N,Y,0,112500,Working,Secondary / secondary special,Separated,House / apartment,-17380,-2875,1,1,0,Sales staff,1,-13,2
ID-1302,8,M,Y,N,2,202500,Working,Higher education,Married,House / apartment,-11736,-727,0,0,0,Drivers,4,-38,1
ID-1658,3,F,N,N,0,90000,Working,Higher education,Married,House / apartment,-11388,-4167,0,0,0,High skill tech staff,2,-2,1
ID-1659,2,M,Y,N,0,81000,Working,Secondary / secondary special,Married,With parents,-14435,-3386,1,0,0,Drivers,2,-12,2
ID-1660,4,M,N,Y,0,180000,Working,Higher education,Single / not married,House / apartment,-9288,-959,0,0,0,Laborers,1,-8,0
ID-1661,4,F,N,N,0,270000,Commercial associate,Higher education,Married,House / apartment,-14953,-8109,1,1,0,Managers,2,-59,2
ID-1662,6,F,N,N,0,90000,Working,Secondary / secondary special,Married,House / apartment,-16372,-3900,0,1,0,Laborers,2,-11,1
ID-1646,13,F,N,Y,0,130500,State servant,Secondary / secondary special,Married,House / apartment,-12676,-3455,0,0,0,Core staff,2,-39,2
ID-1663,11,M,Y,Y,1,189000,Working,Incomplete higher,Married,House / apartment,-15287,-2501,0,1,0,Working_etc,3,-17,1
ID-1664,1,F,N,Y,0,207000,State servant,Secondary / secondary special,Widow,House / apartment,-19876,-5865,0,0,0,Medicine staff,1,-40,2
ID-1665,2,M,Y,Y,0,202500,Working,Secondary / secondary special,Civil marriage,House / apartment,-19252,-523,0,0,0,Drivers,2,-10,2
ID-1666,4,F,N,Y,1,121500,Working,Secondary / secondary special,Married,House / apartment,-15090,-3138,0,0,0,Sales staff,3,-12,1
ID-1667,1,F,N,Y,0,81000,Pensioner,Secondary / secondary special,Married,House / apartment,-24167,0,0,0,0,Retirement,2,-33,2
ID-1668,7,F,N,N,0,292500,State servant,Secondary / secondary special,Married,House / apartment,-20953,-8684,1,1,0,Accountants,2,-22,2
ID-1669,9,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,-22381,0,0,0,0,Retirement,2,-43,0
ID-1670,4,M,Y,Y,0,225000,Pensioner,Secondary / secondary special,Married,House / apartment,-18443,0,0,0,0,Retirement,2,-34,2
ID-1671,2,F,N,Y,0,90000,Working,Secondary / secondary special,Single / not married,House / apartment,-19962,-1189,0,0,0,Working_etc,1,-43,2
ID-1672,2,F,N,N,0,126000,Pensioner,Higher education,Civil marriage,House / apartment,-20523,0,0,0,0,Retirement,2,-58,1
ID-1673,5,F,N,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,-9811,-864,0,0,0,Core staff,3,-51,2
ID-1674,3,F,N,N,1,225000,Pensioner,Secondary / secondary special,Married,Municipal apartment,-18133,0,0,0,0,Retirement,3,-8,2
ID-205,2,M,N,N,0,292500,State servant,Secondary / secondary special,Married,House / apartment,-11365,-2745,1,1,0,Core staff,2,-33,1
ID-1675,2,F,N,Y,0,247500,Commercial associate,Secondary / secondary special,Widow,House / apartment,-20147,-3517,0,1,0,Medicine staff,1,-13,2
ID-1676,5,M,Y,Y,2,180000,State servant,Secondary / secondary special,Married,House / apartment,-12258,-5450,0,0,0,Drivers,4,-25,2
ID-1677,1,F,Y,Y,0,157500,Working,Higher education,Married,House / apartment,-16321,-336,0,1,0,Working_etc,2,-11,2
ID-1678,1,F,N,Y,0,180000,Commercial associate,Higher education,Single / not married,House / apartment,-17945,-1683,0,0,1,HR staff,1,-27,2
ID-1679,3,F,N,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,-20854,-3689,0,0,0,Core staff,3,-37,2
ID-1680,7,M,Y,Y,0,360000,Working,Higher education,Married,House / apartment,-19958,-7465,0,0,0,Laborers,2,-55,2
ID-1681,6,F,N,Y,0,121500,Working,Secondary / secondary special,Married,House / apartment,-14866,-5992,0,0,0,Medicine staff,2,-44,0
ID-1682,3,M,Y,N,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,-18010,-2811,1,0,0,Laborers,1,-34,1
ID-1683,10,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,-22886,0,0,1,0,Retirement,2,-2,0
ID-1684,7,M,Y,N,0,157500,Working,Incomplete higher,Married,With parents,-9124,-960,1,0,0,Drivers,2,-42,2
ID-1685,2,M,N,Y,1,292500,Working,Higher education,Married,Co-op apartment,-12954,-2590,0,0,0,Managers,3,-46,0
ID-749,7,M,N,N,1,157500,Working,Higher education,Separated,With parents,-10862,-1160,1,1,0,Laborers,2,-8,2
ID-477,4,F,N,Y,0,103500,Commercial associate,Higher education,Civil marriage,With parents,-9088,-2174,0,0,0,Commercial_associate_etc,2,-43,2
ID-1686,4,F,Y,N,2,130500,Working,Secondary / secondary special,Married,House / apartment,-10969,-163,0,0,1,Laborers,4,-55,2
ID-1687,6,F,Y,Y,0,135000,Commercial associate,Higher education,Married,House / apartment,-16949,-1371,0,0,0,Managers,2,-15,2
ID-1688,1,F,N,Y,0,45000,Pensioner,Secondary / secondary special,Married,House / apartment,-20743,0,0,0,0,Retirement,2,-3,1
ID-1689,3,M,Y,N,0,157500,Working,Incomplete higher,Married,With parents,-10611,-982,0,1,0,Drivers,2,-14,2
ID-1561,6,M,Y,Y,0,90000,Working,Incomplete higher,Married,House / apartment,-18992,-3243,0,1,0,Drivers,2,-3,0
ID-1690,7,F,N,Y,2,225000,Working,Higher education,Married,House / apartment,-10029,-2705,0,0,0,Working_etc,4,-18,1
ID-1013,20,F,N,Y,0,202500,Pensioner,Secondary / secondary special,Widow,House / apartment,-21126,0,0,0,0,Retirement,1,-45,2
ID-1691,3,M,Y,Y,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,-22605,0,0,1,0,Retirement,2,-19,2
ID-1692,7,F,Y,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,-13768,-2565,0,0,0,Managers,3,-48,2
ID-1693,8,M,Y,Y,0,131400,Pensioner,Secondary / secondary special,Married,House / apartment,-23646,0,0,0,0,Retirement,2,-35,2
ID-1694,2,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,-23015,0,0,0,0,Retirement,2,-15,2
ID-1695,4,F,N,Y,0,315000,Working,Secondary / secondary special,Married,House / apartment,-18018,-11157,0,0,0,Private service staff,2,-3,1
ID-638,7,F,N,Y,1,135000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-10765,-2196,0,0,1,Commercial_associate_etc,3,-36,1
ID-458,3,F,N,Y,0,90000,Working,Higher education,Single / not married,House / apartment,-21532,-4630,0,0,0,Laborers,1,-57,0
ID-13,4,F,N,N,0,135000,Working,Higher education,Married,House / apartment,-9887,-2474,0,1,0,Sales staff,2,-57,2
ID-1696,1,F,Y,Y,3,81000,Working,Secondary / secondary special,Married,House / apartment,-14595,-884,0,0,0,Core staff,5,-26,2
ID-796,10,F,Y,N,1,405000,Working,Secondary / secondary special,Married,Rented apartment,-13810,-1678,1,1,1,Core staff,3,-48,2
ID-709,8,M,Y,N,0,90000,Working,Secondary / secondary special,Married,House / apartment,-15565,-4004,1,1,0,Working_etc,2,-12,2
ID-1697,1,F,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,-11305,-1891,0,0,0,Secretaries,3,-34,1
ID-1698,7,M,N,Y,1,180000,Working,Higher education,Married,With parents,-15670,-1654,0,0,0,Cooking staff,3,-33,2
ID-1699,2,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,-15541,-886,1,0,0,Sales staff,2,-44,2
ID-282,9,M,Y,Y,0,180000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-23289,0,0,1,0,Retirement,2,-36,0
ID-1700,5,M,N,Y,0,675000,Commercial associate,Higher education,Married,House / apartment,-17754,-1109,1,1,1,Managers,2,-20,2
ID-1701,2,F,Y,Y,0,135000,Working,Higher education,Civil marriage,House / apartment,-16679,-443,0,0,0,Working_etc,2,-2,1
ID-1702,3,F,N,Y,1,76500,Working,Secondary / secondary special,Married,House / apartment,-11185,-1405,0,0,1,Medicine staff,3,-24,2
ID-1703,7,F,N,N,1,360000,Commercial associate,Higher education,Civil marriage,House / apartment,-14805,-1922,0,0,0,Sales staff,3,-39,2
ID-1704,7,F,N,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,-23537,-4888,0,0,0,Medicine staff,2,-13,2
ID-593,5,F,N,Y,0,247500,Working,Secondary / secondary special,Married,House / apartment,-11268,-2545,1,1,0,Laborers,2,-17,2
ID-622,11,M,Y,Y,0,90000,Working,Secondary / secondary special,Married,With parents,-11176,-3079,1,0,0,Working_etc,2,-40,2
ID-1705,4,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,-20359,0,0,0,1,Retirement,2,-21,2
ID-1706,3,M,Y,Y,0,243000,Commercial associate,Secondary / secondary special,Married,House / apartment,-13533,-2535,0,1,0,Laborers,2,-12,2
ID-1707,5,M,Y,Y,0,202500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12022,-1674,0,0,1,Laborers,2,-26,2
ID-1708,3,M,Y,Y,0,180000,Commercial associate,Higher education,Married,House / apartment,-9925,-1023,0,0,0,Laborers,2,-42,2
ID-510,13,F,N,N,0,315000,Commercial associate,Higher education,Married,House / apartment,-16188,-309,1,1,1,Sales staff,2,-23,2
ID-1709,7,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,-16856,-1262,1,1,0,Laborers,2,-18,2
ID-1710,5,M,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-18516,-2129,1,1,0,Low-skill Laborers,2,-14,0
ID-1711,1,F,Y,N,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,-14926,-1281,1,1,0,High skill tech staff,2,-36,2
ID-33,3,M,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,-19200,-346,0,1,0,High skill tech staff,2,-34,2
ID-1492,21,M,Y,Y,0,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-9952,-1613,0,0,0,Working_etc,1,-10,2
ID-549,7,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-18199,-5190,0,0,0,Cleaning staff,2,-12,2
ID-1712,9,F,Y,Y,0,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,-13686,-1256,0,0,0,Cooking staff,2,-2,1
ID-1713,2,M,Y,Y,2,225000,Working,Secondary / secondary special,Married,House / apartment,-14923,-5434,1,1,0,Working_etc,4,-21,2
ID-1714,4,M,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,-13937,-4853,1,1,0,Managers,2,-40,2
ID-1715,5,F,Y,N,1,166500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-14019,-3902,0,0,0,Sales staff,3,-22,2
ID-1716,4,F,Y,Y,0,360000,Working,Higher education,Civil marriage,House / apartment,-11452,-2012,0,0,0,Working_etc,2,-18,1
ID-1717,6,F,N,Y,1,157500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-14642,-345,0,0,0,Cooking staff,3,-38,2
ID-1718,1,F,N,Y,0,157500,Pensioner,Higher education,Married,House / apartment,-12387,-1325,0,1,1,Medicine staff,2,-32,2
ID-1719,6,M,Y,N,0,267750,Working,Higher education,Married,House / apartment,-20991,-4727,0,1,0,Laborers,2,-18,2
ID-1720,3,F,Y,Y,0,360000,State servant,Higher education,Married,House / apartment,-14498,-6123,0,0,1,Core staff,2,-17,0
ID-1721,2,M,N,N,0,135000,Commercial associate,Higher education,Married,House / apartment,-13155,-2927,1,0,0,Managers,2,-31,2
ID-1722,3,M,Y,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,-19843,-1922,0,0,0,Managers,2,-27,2
ID-107,4,F,Y,N,1,306000,Working,Higher education,Married,House / apartment,-9310,-1678,0,0,0,Working_etc,3,-13,2
ID-1723,1,F,N,N,0,135000,Working,Secondary / secondary special,Civil marriage,With parents,-9918,-1257,0,1,0,Core staff,2,-10,1
ID-1724,11,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,0,0,0,Laborers,4,-2,1
ID-1725,2,F,N,Y,3,103500,Working,Secondary / secondary special,Married,House / apartment,-15491,-2957,0,0,0,Cleaning staff,5,-4,0
ID-1726,9,F,Y,N,0,225000,Working,Secondary / secondary special,Married,Municipal apartment,-12155,-667,0,0,0,Laborers,2,-16,0
ID-149,11,F,N,Y,2,112500,Working,Secondary / secondary special,Married,House / apartment,-12974,-2379,0,0,0,Laborers,4,-17,1
ID-1727,1,F,N,Y,0,135000,Working,Secondary / secondary special,Separated,House / apartment,-18012,-703,0,0,0,Sales staff,1,-31,2
ID-1728,4,M,Y,N,1,405000,Commercial associate,Higher education,Married,House / apartment,-12179,-535,0,0,0,Managers,3,-12,0
ID-1729,10,F,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-13211,-777,1,1,0,Core staff,2,-40,2
ID-523,9,F,N,Y,0,225000,Commercial associate,Higher education,Single / not married,House / apartment,-20470,-9269,0,0,0,Core staff,1,-12,2
ID-1730,10,F,N,Y,0,67500,Pensioner,Secondary / secondary special,Widow,House / apartment,-22116,0,0,0,0,Retirement,1,-14,2
ID-1731,1,M,Y,Y,1,360000,Working,Higher education,Married,House / apartment,-11767,-3883,1,0,0,Managers,3,-53,2
ID-1732,3,M,Y,N,0,540000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-10499,-1727,0,0,0,Sales staff,1,-12,2
ID-1278,6,F,N,Y,0,72000,Working,Secondary / secondary special,Widow,House / apartment,-19923,-2078,1,1,0,Cleaning staff,1,-56,1
ID-1733,5,F,Y,Y,1,180000,Working,Higher education,Married,House / apartment,-15001,-249,0,0,0,Managers,3,-8,0
ID-1734,6,F,N,N,0,202500,Working,Higher education,Married,House / apartment,-19271,-4839,0,0,1,Core staff,2,-23,0
ID-1735,5,F,N,Y,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,-19421,-2017,0,0,0,Working_etc,1,-6,1
ID-1094,10,M,N,Y,0,180000,Commercial associate,Secondary / secondary special,Separated,House / apartment,-12494,-978,0,0,0,Laborers,1,-25,1
ID-1736,4,M,N,N,0,180000,Working,Secondary / secondary special,Single / not married,With parents,-9046,-1202,1,1,1,Working_etc,1,-16,2
ID-1277,7,F,Y,Y,1,135000,Commercial associate,Higher education,Civil marriage,House / apartment,-11062,-134,0,1,0,Accountants,3,-19,2
ID-137,2,F,Y,Y,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-13591,-3246,0,0,0,Sales staff,3,-58,2
ID-1066,5,F,N,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,-16933,-10384,1,1,0,Medicine staff,2,-14,2
ID-1737,6,F,N,Y,2,180000,State servant,Higher education,Married,House / apartment,-11020,-3578,0,0,0,Core staff,4,-47,2
ID-1738,2,F,N,N,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-16207,-515,0,1,0,Working_etc,1,-41,2
ID-1739,8,F,N,Y,0,315000,Working,Higher education,Married,House / apartment,-15527,-3792,1,1,0,Accountants,2,-14,0
ID-1159,2,F,N,Y,0,112500,Working,Secondary / secondary special,Separated,House / apartment,-17974,-4758,0,0,0,Working_etc,1,-8,2
ID-1740,3,M,Y,N,0,162000,Working,Secondary / secondary special,Married,House / apartment,-13128,-1048,0,0,0,Laborers,2,-3,1
ID-1739,8,F,N,Y,0,315000,Working,Higher education,Married,House / apartment,-15527,-3792,1,1,0,Accountants,2,-44,0
ID-1741,2,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-16289,-3049,0,0,1,Sales staff,2,-23,1
ID-1742,1,F,N,Y,0,112500,State servant,Secondary / secondary special,Separated,House / apartment,-13354,-4966,0,0,0,High skill tech staff,1,-18,2
ID-1743,11,F,N,N,1,135000,Commercial associate,Secondary / secondary special,Separated,House / apartment,-15170,-7979,0,0,0,High skill tech staff,2,-15,1
ID-1383,9,F,Y,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,-20493,-7624,1,1,0,Managers,2,-52,1
ID-1509,12,F,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,-15839,-1525,1,1,0,Sales staff,2,-32,2
ID-1744,1,M,N,Y,0,180000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-10019,-740,0,0,0,High skill tech staff,1,-15,2
ID-1741,2,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-16289,-3049,0,0,1,Sales staff,2,-48,2
ID-57,15,F,N,Y,0,225000,Commercial associate,Higher education,Single / not married,House / apartment,-17031,-642,0,0,0,Core staff,1,-32,1
ID-351,9,M,Y,Y,0,225000,Pensioner,Higher education,Married,House / apartment,-24166,0,0,0,0,Retirement,2,-60,1
